RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
Otsego,MI,,26,137,1575,149900,144200,136950,139900,139900,138500,136250,134000,134900,129900,129500,129000,128250,128500,122250,119500,119000,119700,119500,119500,119900,119900,119000,114950,119700,118950,124900,121900,124900,125000,124900,128000,129000,124000,127250,119900,119000,119000,119900,124900,129000,131900,129950,125500,129500,127900,125000,124900,124900,119950,125000,125000,129000,132500,134000,133000,133500,134250,134900,129900,131250,134900,134900,134900,139000,137500,137000,138700,139900,139500,134900,129900,125000,124900,125000,129900,134900,134000,130000,129950,129700,129900,129900,129900,124900,125000,134700,139900,144850,144900
Sumner,KS,Wichita,20,191,1576,79900,82500,79900,79900,79900,79900,79000,79900,79900,79900,75900,76700,74900,75000,74950,72500,72500,72700,72500,74900,72900,74500,74700,75000,74900,70000,76500,71450,77500,75000,79900,79450,79900,80750,80000,79950,80000,79900,79925,79900,82000,79900,78000,74900,78450,82000,79900,80250,81000,77950,77250,82000,79900,80597.5,79900,79900,84900,85000,89900,87900,89900,89900,89900,86737.5,89950,88400,89450,89900,88000,89700,79900,79250,79900,79900,79900,84900,82800,75000,79900,79995,78800,76000,81995,89900,90400,84900,82500,85300,87500,84500
Buchanan,VA,,51,27,1577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,125000,124900,127450,127450,125000,119900,108950,104000,119900,119500,130000,129900,130000,119950,119950,119900,118950,121450,135000,125000,125000,115000,118000,115000,107500,104950,99000,110620,105008,122000,119900,119000,109950,107450,97000,86200,95450,87700,85000,94900,94900,103000,107000
Lawrence,SD,Spearfish,46,81,1578,211000,198750,196250,196000,199900,208000,219466.5,209950,209000,219000,225900,230000,230000,229500,223000,215500,219900,211950,218500,213450,206100,194950,194700,198000,198500,198000,189000,197750,194950,204500,199900,198700,190000,185000,189900,189000,180000,202450,219000,221950,217500,206200,209000,206200,209450,210000,209450,210000,229500,222400,214999,210000,219000,229000,229000,242500,249000,255000,249950,246950,241900,237000,239000,242400,239000,239000,243000,243950,249000,269000,279000,269400,267800,277940.5,269250,269000,278250,271425.5,263000,268500,259000,259651,274900,286250,295000,299000,297000,295000,294900,289700
Brooke,WV,Weirton,54,9,1579,,,,,,,,,,83900,75000,72000,79900,72000,79900,89000,89000,86250,89900,89450,84900,84900,83900,84900,89450,89450,89000,94700,94500,88000,84900,79900,79900,79900,74450,74950,72900,71500,79900,84500,81900,84500,79900,75000,72750,79500,75000,80450,79900,79900,79900,79500,84900,79900,80000,79900,81000,84500,83450,93800,84900,84900,89900,89900,99000,98500,87400,80750,81200,89000,89900,85000,79900,85000,89900,84950,91950,99000,95250,83000,85000,74000,78130,69500,67900,67900,76000,67750,70750,82449.5
Page,VA,,51,139,1580,184900,189950,192500,189900,184449.5,189900,189500,190450,189900,189900,182400,179900,179900,179900,179900,169900,179450,185000,179000,165000,179450,179000,172000,175000,167500,161950,168000,172000,174450,169950,174000,172500,174900,169900,169900,174950,169700,166500,165000,169900,169650,169900,167900,169000,162450,159900,158700,160000,169900,169900,174900,174400,175000,179900,189000,179450,179900,170450,169900,169000,174500,179000,179000,179900,179900,179900,184900,184900,179850,179000,174900,164900,165000,165000,165000,172200,179000,179900,179900,184900,179900,176700,179900,184900,178000,171000,169900,179900,186450,185000
Menominee,MI,Marinette,26,109,1581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93754,109900,112450,119900,119900,124900,117450,119900,124900,129000,124307,124900,120000,124900,129900,124900
Hampshire,WV,Winchester,54,27,1582,209000,192500,190000,207875,189500,169900,161450,166897.5,154949.5,164397.5,164900,159950,149949.5,149900,150000,150000,149900,150000,150000,149900,149900,149000,149000,149000,140000,145000,140000,137000,139900,137500,133000,139900,139900,139450,139000,138500,145000,149900,149850,150000,149850,145000,149500,149950,159900,149900,149850,149850,149900,149900,165000,159900,159900,161600,159900,168000,169450,163400,158900,150000,149000,149900,149900,159000,159900,159500,155400,149500,150000,149900,150000,146750,159500,157500,157500,159900,159900,155500,165000,157000,149950,149900,148000,140000,135000,139900,140500,141250,146000,150000
Fairfield,SC,Columbia,45,39,1583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189900,165000,165000,174900,168110,159000,159000,157450,159950,163000,167000,174500,175000,175000,167450
Ohio,KY,,21,183,1584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111900,107900,102500,120500,119000,118950,99500,114900,104900,122500,119900,116250,124900
